r	∅	67
rɔ	ɾ	1
		də-zuk-si-ɾi-βu-nu-1klɛjk+Masc	də-zɔk-si-ri-βu-nu-1klɛjk	də-zuk-si-ɾi-βu-nu-1klɛjk
o	d	1
		surd-1mud+Masc	sor-1mut	surd-1mut
β	p	1
		su-1pɛ-ɾik+Masc	su-1βɛ-ɾik	su-1pɛ-ɾik
r	wɾ	1
		su-1pɛɾb+Masc	su-1pɛrp	su-1pɛɾuw
ar	ə	1
		kwə-ðɾi-mu-1toɾ+Masc	kwa-ðɾi-mu-1tor	kwə-ðɾi-mu-1to
or	i	1
		kɔn-tɾə-lɛk-tɾu-mu1tɾiu+Masc	kɔn-tɾə-lɛk-tɾu-mu-1tor	kɔn-tɾə-lɛk-tɾu-mu1tɾiu
aɔ	oə	1
		kəb-1ɡɾos+Masc	kab-1ɡɾɔs	kəb-1ɡɾos
w	u	1
		ə-fɾu-ə-mə-ɾi-1kan+Masc	a-fɾwə-mə-ɾi-1ka	ə-fɾu-ə-mə-ɾi-1ka
es	ɛ	1
		1tɛns+Masc	1tens	1tɛn
uwɛ	e	1
		1re+Masc	1rɛuw	1re
-i	j	1
		1pɾɔpj+Masc	1pɾɔ-pi	1pɾɔpj
rɔ	o	1
		1ʎoɾ+Masc	1ʎɔr	1ʎo
∅	n	1
		1ɔr-fə-nə+Masc	1ɔr-fə	1ɔr-fə-nə
-u	∅	1
		1kɾu+Fem	1kɾu-ə	1kɾə
d	ð	1
		1kald+Fem	1kal-də	1kal-ðə
j	i	1
		əs-tu-ɾi-1an+Masc	əs-tu-1ɾja	əs-tu-ɾi-1a
e	rɛ	1
		əs-1kɛr+Masc	əs-1ke	əs-1kɛr
o	uɛ	1
		ər-1tɛ-ɾi-us+Masc	ər-tə-ɾi-1os	ər-1tɛ-ɾi-us
a	nsɛ	1
		əv-ɣə-1nɛz+Masc	əv-1ɣa	əv-ɣə-1nɛs
o	rɔ	1
		əks-1tɾɔrs+Masc	əks-1tɾos	əks-1tɾɔrs
